Strategy,Start Time,End Time,Time Taken
astar,237.052370,276.822259,39.769889
astar,493.092309,546.365173,53.272864
astar,776.682012,812.963662,36.281650
astar,949.483598,988.596960,39.113361
astar,1081.235783,1120.595783,39.360000
astar,1180.409098,1219.685282,39.276184
astar,1284.365282,1330.293271,45.927989
astar,1392.370063,1428.500324,36.130261
astar,1473.360975,1512.640975,39.280000
astar,1546.460975,1585.980975,39.520000
astar,1640.890975,1680.860975,39.970000
astar,1735.590975,1788.940975,53.350000
astar,1851.500975,1887.480975,35.980000
astar,1955.082980,1994.362980,39.280000
astar,2440.497875,2480.002146,39.504272
astar,2538.696589,2578.555315,39.858726
astar,2647.335315,2693.165315,45.830000
astar,2958.597206,2994.557206,35.960000
astar,3219.523868,3258.953868,39.430000
astar,3307.493868,3346.893993,39.400125
astar,3421.170793,3460.960793,39.790000
astar,3513.670880,3559.900880,46.230000
astar,3603.279518,3639.310254,36.030736
astar,3707.040254,3746.280254,39.240000
astar,3819.667075,3859.147075,39.480000
astar,3923.598031,3962.818031,39.220000
astar,4048.224594,4101.414594,53.190000
astar,4168.124594,4204.139033,36.014439
astar,4255.679033,4295.099033,39.420000
astar,4384.899033,4424.389033,39.490000
bfs,4524.539033,4573.659033,49.120000
bfs,4623.219033,4673.109033,49.890000
bfs,4854.291066,4894.461066,40.170000
bfs,5044.707885,5090.327298,45.619413
bfs,5162.897936,5208.908823,46.010886
bfs,5290.048823,5338.548823,48.500000
bfs,5397.295320,5454.584240,57.288920
bfs,5548.494240,5588.614240,40.120000
bfs,5645.074240,5690.724240,45.650000
bfs,5744.334240,5790.424240,46.090000
bfs,6238.340867,6289.710867,51.370000
bfs,6337.870867,6387.760867,49.890000
bfs,6552.840867,6593.260867,40.420000
bfs,6633.700867,6679.430867,45.730000
bfs,6717.180867,6763.370867,46.190000
bfs,6992.929036,7041.379036,48.450000
bfs,7097.339036,7168.479036,71.140000
bfs,7204.207301,7244.427301,40.220000
bfs,7352.347301,7398.357301,46.010000
bfs,7523.076756,7569.356756,46.280000
bfs,7696.656756,7745.136756,48.480000
bfs,7769.066756,7826.456756,57.390000
bfs,8034.058795,8074.318795,40.260000
bfs,8100.868795,8146.468795,45.600000
bfs,8214.222516,8258.942516,44.720000
bfs,8311.272516,8360.462516,49.190000
bfs,8425.752516,8483.092516,57.340000
bfs,8546.292516,8586.662516,40.370000
bfs,8607.402516,8653.412516,46.010000
bfs,8712.132516,8758.482516,46.350000
dfs,8867.302516,9628.107794,760.805278
dfs,9781.397794,10173.940257,392.542464
dfs,10256.510258,10397.970258,141.460000
dfs,10462.890258,11512.420258,1049.530000
dfs,11604.670258,12643.640258,1038.970000
dfs,12715.070258,13475.954259,760.884002
dfs,13548.974259,13941.390719,392.416459
dfs,14182.128995,14319.478995,137.350000
dfs,14461.988995,15511.628995,1049.640000
dfs,15623.468995,16655.558995,1032.090000
dfs,16738.698995,17499.488995,760.790000
dfs,17625.496508,18018.056508,392.560000
dfs,18103.296508,18240.556508,137.260000
dfs,18369.728419,19418.948419,1049.220000
dfs,19578.414518,20610.564518,1032.150000
dfs,20710.814518,21471.510251,760.695733
dfs,21612.431598,22004.911598,392.480000
dfs,22149.239104,22286.549104,137.310000
dfs,22416.768333,23465.998332,1049.230000
dfs,23557.128332,24598.171497,1041.043165
dfs,24726.361497,25768.921497,1042.560000
dfs,25883.101497,26275.581497,392.480000
dfs,26349.391497,26490.551497,141.160000
dfs,26588.301497,27641.451497,1053.150000
dfs,27753.811497,28785.961497,1032.150000
dfs,29212.771497,30255.341496,1042.570000
dfs,31084.661496,31477.061496,392.400000
dfs,31934.951496,32072.141496,137.190000
dfs,32319.291496,33368.651496,1049.360000
dfs,33465.881496,34498.041496,1032.160000
dijkstra,34948.341496,34991.661496,43.320000
dijkstra,35095.021496,35152.221496,57.200000
dijkstra,35214.961497,35255.061497,40.100000
dijkstra,35348.811497,35392.291497,43.480000
dijkstra,35456.361497,35499.941497,43.580000
dijkstra,35562.151497,35605.511497,43.360000
dijkstra,35700.751497,35757.831497,57.080000
dijkstra,35799.291497,35839.301497,40.010000
dijkstra,35879.081497,35922.251497,43.170000
dijkstra,35976.821497,36020.321497,43.500000
dijkstra,36080.651497,36124.091497,43.440000
dijkstra,36195.061497,36252.281497,57.220000
dijkstra,36342.121497,36382.251497,40.130000
dijkstra,36507.301497,36550.991497,43.690000
dijkstra,36625.111497,36668.761497,43.650000
dijkstra,36738.801497,36782.181497,43.380000
dijkstra,36859.941497,36910.021497,50.080000
dijkstra,37005.541497,37045.631497,40.090000
dijkstra,37114.571497,37158.031497,43.460000
dijkstra,37259.121497,37302.381497,43.260000
dijkstra,37399.941497,37447.031497,47.090000
dijkstra,37480.011497,37537.261497,57.250000
dijkstra,37548.871497,37589.031497,40.160000
dijkstra,37618.621497,37662.151497,43.530000
dijkstra,37716.161497,37759.641497,43.480000
dijkstra,37787.921497,37831.921497,44.000000
dijkstra,37859.881497,37917.111497,57.230000
dijkstra,37927.041497,37967.161497,40.120000
dijkstra,37991.021497,38035.001497,43.980000
dijkstra,38050.341497,38093.911497,43.570000
